FBID	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs
mRpS26	-1.32428539963226	3.56799127187527	18.1204867418774	2.07358409001185e-05	-0.593271152911063	3.56799127187527	3.82872168597564	0.0503813432053997
mRpS28	-0.847043566652392	3.5143091996417	7.17247010651963	0.00740307715066488	-0.404384658770247	3.5143091996417	1.6738411498346	0.195744833036375
mRpS29	-0.548828393259664	4.34627112406959	3.63678312501728	0.0565160338145965	-0.118372158289124	4.34627112406959	0.171695495799851	0.678609342070971
mRpS30	-0.517204791170273	5.09705799618205	3.39132411578164	0.0655402964231767	-0.184336985947754	5.09705799618205	0.434486336653842	0.50979574227087
mRpS31	-0.729224506067895	3.17413253655209	4.39807915756299	0.03597943323834	-0.299729914190264	3.17413253655209	0.759345583780807	0.383533398135923
mRpS33	-0.488830946993419	3.32110438313994	1.65850985270716	0.197804640701228	-0.524762330312553	3.32110438313994	1.90181054235398	0.167875801690116
mRpS34	-0.939082939323782	3.62689695506506	9.29848991215457	0.00229342823776135	-0.461140778196697	3.62689695506506	2.30410252719925	0.129032790098218
mRpS35	-0.858954203252157	4.35475556464206	9.05062096510169	0.00262605613186532	-0.381645180536652	4.35475556464206	1.82591570428692	0.176610724847146
mRpS5	-0.335408977082714	5.62445099434584	1.01213089643201	0.314392882875067	-0.677325571205373	5.62445099434584	4.08435799932097	0.0432818908398489
mRpS6	-0.682299802585401	3.6581525408375	4.90630797712635	0.0267587789076027	-0.156342811048694	3.6581525408375	0.264047048392549	0.607353311816161
mRpS7	-0.682201180148358	5.36803323596557	6.26381663468959	0.012322844880221	-0.190798427208175	5.36803323596557	0.497020527964718	0.480812209948951
mRpS9	-0.0625268362931703	4.95326241194537	0.0465205293124704	0.829232372508769	0.0679810033799287	4.95326241194537	0.0550295122984501	0.814531862091836
mrt	0.583545491195438	6.41918912560468	5.30979973593308	0.0212057938007892	0.144722252682757	6.41918912560468	0.327098298610117	0.56737273125591
Mrtf	-1.11776172560068	5.536087263979	15.2966061924593	9.1881438139112e-05	-0.410536671242717	5.536087263979	2.12224621444923	0.145173493725925
msb1l	-1.64214315518419	5.00843981012866	29.1450858003194	6.7155863045312e-08	-0.746765167164959	5.00843981012866	6.35055611290372	0.0117344507718203
MSBP	-0.557308612919466	7.29959697954935	3.83615837549105	0.0501583207027802	-0.232446600722544	7.29959697954935	0.671279042459602	0.412606029779616
msd1	-1.55589484667674	4.87386541210181	29.6401020649604	5.20175639418712e-08	-0.641049077200502	4.87386541210181	5.30919898706828	0.0212131074327767
msd5	-1.29439454849925	3.397983518661	14.2539142047424	0.000159728268911186	-0.69189391582958	3.397983518661	4.24032043866285	0.0394747158515404
Msh6	-0.790163880900905	5.50289236457557	8.54180730177914	0.00347080842340937	-0.703672004580604	5.50289236457557	6.78842380870023	0.00917508834187745
msi	-0.451822289008766	8.12131319356716	2.35650860395219	0.124761138672915	-0.25221100338786	8.12131319356716	0.736456344853366	0.390798407233244
msk	0.0180682388462699	8.75474486903873	0.00402846496467646	0.949392096640169	0.277195962861708	8.75474486903873	0.946931915556235	0.330501483259775
msl-1	-0.363979948392392	6.08889587358793	1.99472558869718	0.157847653346385	-0.018072430986432	6.08889587358793	0.00494298611667432	0.943949809958593
msl-2	-0.632518671344066	6.1168980974259	5.61566410950992	0.0178006341548956	0.337096772367998	6.1168980974259	1.61772071281672	0.203409894733837
msl-3	-1.17470421831151	3.26467625020306	10.9946738780581	0.00091374089827845	-0.359281864174262	3.26467625020306	1.08256665581249	0.298124086374168
msn	-0.200466062155103	9.46311510516752	0.498079239548645	0.480345305600571	-0.00263330134793751	9.46311510516752	8.6020027339373e-05	0.992599967564643
Msp300	-0.144439621961407	9.32470013762958	0.179378147890944	0.671908195895955	-0.311377180514103	9.32470013762958	0.83222048706682	0.361631236929832
mspo	3.00020943933779	2.08489673723312	28.017741581237	1.20208299199219e-07	2.3668106638155	2.08489673723312	17.4973302061825	2.87711421317706e-05
msps	-0.325836265490018	8.33616045035706	1.25835982083903	0.261961782590278	0.226784061717599	8.33616045035706	0.610728208443501	0.434513758485345
mst	-0.713588309768434	4.7746133919605	6.98780339507442	0.00820670090912646	-0.397707024272139	4.7746133919605	2.19551715105329	0.138412747885442
Mst85C	-0.489917408212713	4.28006477375773	2.76776305903464	0.0961804864773293	-0.0124507058907329	4.28006477375773	0.00181446945196484	0.966023114069413
Mst89B	0.323874880285437	1.72892996477441	0.454236915629329	0.500329747787384	-0.531252208855385	1.72892996477441	1.14751009715098	0.284070980651753
mt:ATPase6	-0.960739424689217	7.08249584244046	4.61328904133177	0.0317251292833434	-1.61966886134777	7.08249584244046	12.6867835837603	0.000368249162941657
mt:ATPase8	-2.00066641659758	4.31323385245446	18.4719741770848	1.72421222844832e-05	-0.213400453481978	4.31323385245446	0.230634067195183	0.631054075305642
